4.9996E-1	2.1020E-1	4.6970E-6	3.5442E+1	3.8070E-1
1.5000E+0	2.1019E-1	4.8959E-6	3.6388E+1	3.9171E-1
2.5001E+0	2.1043E-1	4.7949E-6	3.6133E+1	3.8856E-1
3.5001E+0	2.1263E-1	4.7745E-6	3.6152E+1	3.8881E-1
4.5002E+0	2.1263E-1	4.7524E-6	3.6267E+1	3.9027E-1
5.5003E+0	2.1263E-1	4.5742E-6	3.5908E+1	3.8590E-1
6.5003E+0	2.1263E-1	4.6631E-6	3.6336E+1	3.9097E-1
7.5004E+0	2.1317E-1	4.6015E-6	3.6059E+1	3.8784E-1
8.5005E+0	2.1507E-1	4.5426E-6	3.6095E+1	3.8803E-1
9.5005E+0	2.1506E-1	4.5656E-6	3.6280E+1	3.9033E-1
1.0501E+1	2.1507E-1	4.3040E-6	3.5688E+1	3.8340E-1
1.1501E+1	2.1506E-1	4.4526E-6	3.6341E+1	3.9104E-1
1.2501E+1	2.1588E-1	4.3719E-6	3.5922E+1	3.8640E-1
1.3501E+1	2.1750E-1	4.3693E-6	3.6064E+1	3.8779E-1
1.4501E+1	2.1750E-1	4.4805E-6	3.6377E+1	3.9145E-1
1.5501E+1	2.1750E-1	4.1653E-6	3.5688E+1	3.8335E-1
1.6501E+1	2.1750E-1	4.4259E-6	3.6380E+1	3.9158E-1
1.7501E+1	2.1860E-1	4.4535E-6	3.6205E+1	3.8944E-1
1.8501E+1	2.1993E-1	4.3755E-6	3.6097E+1	3.8810E-1
1.9501E+1	2.1993E-1	4.3553E-6	3.6227E+1	3.8991E-1
2.0501E+1	2.1993E-1	4.1208E-6	3.5681E+1	3.8327E-1
2.1501E+1	2.1992E-1	4.2933E-6	3.6353E+1	3.9110E-1
2.2501E+1	2.2132E-1	4.2844E-6	3.6097E+1	3.8837E-1
2.3501E+1	2.2237E-1	4.1267E-6	3.5907E+1	3.8603E-1
2.4501E+1	2.2237E-1	4.2776E-6	3.6307E+1	3.9049E-1
2.5502E+1	2.2238E-1	4.0433E-6	3.5705E+1	3.8386E-1
2.6502E+1	2.2237E-1	4.1926E-6	3.6219E+1	3.8957E-1
2.7502E+1	2.2406E-1	4.1621E-6	3.5915E+1	3.8630E-1
2.8502E+1	2.2481E-1	4.0784E-6	3.6019E+1	3.8735E-1
2.9502E+1	2.2481E-1	4.1455E-6	3.6261E+1	3.8996E-1
3.0502E+1	2.2481E-1	4.0049E-6	3.5902E+1	3.8614E-1
3.1502E+1	2.2480E-1	4.1343E-6	3.6328E+1	3.9071E-1
3.2502E+1	2.2678E-1	4.2253E-6	3.6217E+1	3.8983E-1
3.3502E+1	2.2725E-1	4.0365E-6	3.5868E+1	3.8547E-1
3.4502E+1	2.2725E-1	4.0194E-6	3.5930E+1	3.8627E-1
3.5502E+1	2.2724E-1	4.0201E-6	3.6001E+1	3.8713E-1
3.6502E+1	2.2723E-1	4.0916E-6	3.6217E+1	3.8950E-1
3.7502E+1	2.2948E-1	4.2413E-6	3.6337E+1	3.9084E-1
3.8502E+1	2.2967E-1	3.9875E-6	3.5835E+1	3.8529E-1
3.9502E+1	2.2967E-1	4.0503E-6	3.6078E+1	3.8817E-1
4.0502E+1	2.2968E-1	4.0724E-6	3.6091E+1	3.8808E-1
4.1503E+1	2.2978E-1	4.1403E-6	3.6152E+1	3.8868E-1
4.2503E+1	2.3210E-1	4.2172E-6	3.6330E+1	3.9096E-1
4.3503E+1	2.3212E-1	3.9664E-6	3.5801E+1	3.8503E-1
4.4503E+1	2.3211E-1	4.0092E-6	3.6064E+1	3.8793E-1
4.5503E+1	2.3211E-1	4.0552E-6	3.6282E+1	3.9026E-1
4.6503E+1	2.3251E-1	4.0336E-6	3.6015E+1	3.8731E-1
4.7503E+1	2.3454E-1	4.1098E-6	3.6280E+1	3.9023E-1
4.8503E+1	2.3457E-1	4.0085E-6	3.5989E+1	3.8728E-1
4.9503E+1	2.3456E-1	3.9987E-6	3.5970E+1	3.8653E-1
5.0503E+1	2.3455E-1	4.0835E-6	3.6260E+1	3.8999E-1
5.1503E+1	2.3523E-1	4.0467E-6	3.6051E+1	3.8802E-1
5.2503E+1	2.3699E-1	4.0553E-6	3.6270E+1	3.9009E-1
5.3503E+1	2.3701E-1	3.9363E-6	3.6083E+1	3.8827E-1
5.4503E+1	2.3703E-1	3.8833E-6	3.5898E+1	3.8587E-1
5.5503E+1	2.3702E-1	3.9998E-6	3.6297E+1	3.9060E-1
5.6503E+1	2.3799E-1	3.9805E-6	3.6070E+1	3.8794E-1
5.7504E+1	2.3943E-1	3.9796E-6	3.6133E+1	3.8861E-1
5.8504E+1	2.3943E-1	3.9725E-6	3.6178E+1	3.8923E-1
5.9504E+1	2.3943E-1	3.7997E-6	3.5775E+1	3.8445E-1
6.0504E+1	2.3942E-1	3.9113E-6	3.6156E+1	3.8887E-1
6.1504E+1	2.4069E-1	4.0188E-6	3.6156E+1	3.8905E-1
6.2504E+1	2.4189E-1	3.9647E-6	3.6175E+1	3.8900E-1
6.3504E+1	2.4191E-1	3.9893E-6	3.6256E+1	3.9005E-1
6.4504E+1	2.4192E-1	3.8592E-6	3.5874E+1	3.8583E-1
6.5504E+1	2.4188E-1	4.0117E-6	3.6331E+1	3.9090E-1
6.6504E+1	2.4342E-1	4.0162E-6	3.6239E+1	3.8989E-1
6.7504E+1	2.4431E-1	3.9073E-6	3.6070E+1	3.8779E-1
6.8504E+1	2.4430E-1	4.0191E-6	3.6352E+1	3.9111E-1
6.9504E+1	2.4430E-1	3.7866E-6	3.5747E+1	3.8425E-1
7.0504E+1	2.4430E-1	3.9298E-6	3.6234E+1	3.8981E-1
7.1504E+1	2.4613E-1	3.9966E-6	3.6206E+1	3.8959E-1
7.2504E+1	2.4674E-1	3.9014E-6	3.6019E+1	3.8735E-1
7.3505E+1	2.4678E-1	3.9094E-6	3.6055E+1	3.8773E-1
7.4505E+1	2.4677E-1	3.7816E-6	3.5796E+1	3.8471E-1
7.5505E+1	2.4677E-1	3.9418E-6	3.6236E+1	3.8984E-1
7.6505E+1	2.4889E-1	4.0117E-6	3.6235E+1	3.9004E-1
7.7505E+1	2.4921E-1	3.8840E-6	3.6167E+1	3.8883E-1
7.8505E+1	2.4921E-1	3.9547E-6	3.6268E+1	3.9020E-1
7.9505E+1	2.4922E-1	3.7296E-6	3.5722E+1	3.8419E-1
8.0505E+1	2.4922E-1	3.8795E-6	3.6203E+1	3.8922E-1
8.1505E+1	2.5163E-1	4.0028E-6	3.6215E+1	3.8976E-1
8.2505E+1	2.5166E-1	4.0084E-6	3.6385E+1	3.9140E-1
8.3505E+1	2.5166E-1	3.9282E-6	3.6190E+1	3.8936E-1
8.4505E+1	2.5163E-1	3.7044E-6	3.5667E+1	3.8341E-1
8.5505E+1	2.5187E-1	3.9505E-6	3.6272E+1	3.9046E-1
8.6505E+1	2.5405E-1	3.9415E-6	3.6196E+1	3.8933E-1
