4.9996E-1	-3.1346E-1	-6.1695E-11	3.6206E+1	3.8105E-1
7.1251E+1	-3.1347E-1	-8.8468E-10	3.6245E+1	3.8165E-1
1.4200E+2	-3.1344E-1	-1.4874E-9	3.5421E+1	3.7232E-1
2.1275E+2	-3.1345E-1	-1.8913E-9	3.6312E+1	3.8242E-1
2.8351E+2	-3.1344E-1	-1.8215E-9	3.6319E+1	3.8226E-1
3.5426E+2	-3.1345E-1	-1.4749E-9	3.6032E+1	3.7932E-1
4.2501E+2	-3.1344E-1	-1.9252E-9	3.5939E+1	3.7834E-1
4.9576E+2	-3.1343E-1	-2.6209E-9	3.6154E+1	3.8048E-1
5.6651E+2	-3.1344E-1	-3.6111E-9	3.5905E+1	3.7792E-1
6.3726E+2	-3.1342E-1	-5.4659E-9	3.6024E+1	3.7914E-1
7.0801E+2	-3.1343E-1	-5.5654E-9	3.6244E+1	3.8156E-1
7.7876E+2	-3.1344E-1	-6.4020E-9	3.6495E+1	3.8444E-1
8.4952E+2	-3.1342E-1	-6.3381E-9	3.5988E+1	3.7887E-1
9.2027E+2	-3.1340E-1	-6.5021E-9	3.5527E+1	3.7368E-1
9.9102E+2	-3.1342E-1	-6.1396E-9	3.6009E+1	3.7915E-1
1.0618E+3	-3.1339E-1	-6.5846E-9	3.5236E+1	3.7045E-1
1.1325E+3	-3.1339E-1	-5.6270E-9	3.5721E+1	3.7606E-1
1.2033E+3	-3.1340E-1	-4.6144E-9	3.5768E+1	3.7650E-1
1.2740E+3	-3.1339E-1	-3.7588E-9	3.5741E+1	3.7629E-1
1.3448E+3	-3.1341E-1	-2.7336E-9	3.5611E+1	3.7455E-1
1.4155E+3	-3.1342E-1	-1.3168E-9	3.5704E+1	3.7586E-1
1.4863E+3	-3.1342E-1	5.9581E-10	3.6039E+1	3.7958E-1
1.5570E+3	-3.1340E-1	2.3953E-9	3.5355E+1	3.7165E-1
1.6278E+3	-3.1339E-1	3.7939E-9	3.5694E+1	3.7574E-1
1.6985E+3	-3.1343E-1	5.1496E-9	3.5767E+1	3.7637E-1
1.7693E+3	-3.1342E-1	6.1971E-9	3.5591E+1	3.7431E-1
1.8400E+3	-3.1341E-1	6.4916E-9	3.5400E+1	3.7260E-1
