2.239010558069382455e+02	1.771756410256411129e+02	1.457677971342382932e+02	1.059627526395173760e+02	7.311661689291103983e+01	6.332779788838614365e+01	5.350966138763198643e+01	4.478167194570136900e+01	3.710964705882354053e+01	3.116672398190047133e+01	2.511953318250378331e+01	2.082983408748116005e+01	1.873772699849171630e+01	1.585269758672699858e+01	1.482588989441931560e+01	1.324780814479638380e+01	1.161574698340874967e+01	1.017172307692307953e+01	8.959488838612370998e+00	7.816324208144798114e+00	6.642024962292609302e+00	5.628622247360483222e+00	4.716724811463046230e+00	4.012873981900453302e+00	3.318796304675717401e+00	2.753045324283560191e+00	2.305654675716440227e+00	1.831005806938160063e+00	1.431221568627451202e+00	1.071154170437406128e+00	7.188149245852188951e-01	3.679769683257919644e-01	-1.040576595022625443e-02	-4.292489441930619765e-01	-9.381331749622928706e-01
2.228074920060332715e+02	1.757569604826546765e+02	1.444184021116138581e+02	1.049246315535445291e+02	7.234002594268478958e+01	6.266015499245854414e+01	5.294742238310709581e+01	4.431891565610860795e+01	3.674584000000000827e+01	3.086401737556563063e+01	2.488660440422323816e+01	2.064531680241328715e+01	1.857640536953244137e+01	1.572313948717948762e+01	1.470786527903469931e+01	1.314647911312217587e+01	1.153148494720965367e+01	1.010134968325792038e+01	8.900930069381601584e+00	7.768252416289594287e+00	6.604423650075414542e+00	5.599593279034690951e+00	4.694579897435897209e+00	3.994955493212670294e+00	3.304619119155355111e+00	2.741848138763198328e+00	2.296377743589743226e+00	1.823288947209653177e+00	1.425117568627451092e+00	1.066130207541478470e+00	7.144973001508296839e-01	3.644383601809955686e-01	-1.321899335927602739e-02	-4.315164844645552056e-01	-9.396663342383109185e-01
2.217139282051282692e+02	1.743382799396682685e+02	1.430690070889894230e+02	1.038865104675716680e+02	7.156343499245855355e+01	6.199251209653093753e+01	5.238518337858221230e+01	4.385615936651584690e+01	3.638203294117648312e+01	3.056131076923078638e+01	2.465367562594269657e+01	2.046079951734541069e+01	1.841508374057316288e+01	1.559358138763197488e+01	1.458984066365008303e+01	1.304515008144796617e+01	1.144722291101055944e+01	1.003097628959276300e+01	8.842371300150832170e+00	7.720180624434390459e+00	6.566822337858219782e+00	5.570564310708899569e+00	4.672434983408747300e+00	3.977037004524887731e+00	3.290441933634993266e+00	2.730650953242836021e+00	2.287100811463046668e+00	1.815572087481146513e+00	1.419013568627451205e+00	1.061106244645550811e+00	7.101796757164405838e-01	3.608997520361991729e-01	-1.603222076832580209e-02	-4.337840247360483792e-01	-9.411994935143290775e-01
2.206203644042232952e+02	1.729195993966818321e+02	1.417196120663649879e+02	1.028483893815988210e+02	7.078684404223230331e+01	6.132486920060333802e+01	5.182294437405732168e+01	4.339340307692308585e+01	3.601822588235295086e+01	3.025860416289594568e+01	2.442074684766215142e+01	2.027628223227753779e+01	1.825376211161388795e+01	1.546402328808446391e+01	1.447181604826546852e+01	1.294382104977375825e+01	1.136296087481146344e+01	9.960602895927603839e+00	8.783812530920062756e+00	7.672108832579186632e+00	6.529221025641025022e+00	5.541535342383107299e+00	4.650290069381598279e+00	3.959118515837104724e+00	3.276264748114630976e+00	2.719453767722474158e+00	2.277823879336349666e+00	1.807855227752639626e+00	1.412909568627451096e+00	1.056082281749623375e+00	7.058620512820514836e-01	3.573611438914028327e-01	-1.884544817737557332e-02	-4.360515650075416083e-01	-9.427326527903471254e-01
2.195268006033183212e+02	1.715009188536953957e+02	1.403702170437405528e+02	1.018102682956259599e+02	7.001025309200605307e+01	6.065722630467573140e+01	5.126070536953243817e+01	4.293064678733032480e+01	3.565441882352941860e+01	2.995589755656110142e+01	2.418781806938160983e+01	2.009176494720966488e+01	1.809244048265460947e+01	1.533446518853695295e+01	1.435379143288085224e+01	1.284249201809955032e+01	1.127869883861236922e+01	9.890229502262444683e+00	8.725253761689293341e+00	7.624037040723982805e+00	6.491619713423831151e+00	5.512506374057315917e+00	4.628145155354448370e+00	3.941200027149321716e+00	3.262087562594269130e+00	2.708256582202111851e+00	2.268546947209652664e+00	1.800138368024132962e+00	1.406805568627451208e+00	1.051058318853695717e+00	7.015444268476622725e-01	3.538225357466064369e-01	-2.165867558642534801e-02	-4.383191052790347819e-01	-9.442658120663651733e-01
2.184332368024133473e+02	1.700822383107089593e+02	1.390208220211161176e+02	1.007721472096531130e+02	6.923366214177980282e+01	5.998958340874813189e+01	5.069846636500754755e+01	4.246789049773756375e+01	3.529061176470588634e+01	2.965319095022626072e+01	2.395488929110106469e+01	1.990724766214179198e+01	1.793111885369533454e+01	1.520490708898944021e+01	1.423576681749623596e+01	1.274116298642534062e+01	1.119443680241327321e+01	9.819856108597287303e+00	8.666694992458523927e+00	7.575965248868778978e+00	6.454018401206636391e+00	5.483477405731523646e+00	4.606000241327299349e+00	3.923281538461539153e+00	3.247910377073906840e+00	2.697059396681749988e+00	2.259270015082956107e+00	1.792421508295626076e+00	1.400701568627451099e+00	1.046034355957768058e+00	6.972268024132730613e-01	3.502839276018100412e-01	-2.447190299547512271e-02	-4.405866455505280110e-01	-9.457989713423833322e-01
2.173396730015083449e+02	1.686635577677225513e+02	1.376714269984916825e+02	9.973402612368025189e+01	6.845707119155356679e+01	5.932194051282052527e+01	5.013622736048266404e+01	4.200513420814480270e+01	3.492680470588236119e+01	2.935048434389141647e+01	2.372196051282052309e+01	1.972273037707391552e+01	1.776979722473605605e+01	1.507534898944192925e+01	1.411774220211161968e+01	1.263983395475113269e+01	1.111017476621417899e+01	9.749482714932128147e+00	8.608136223227754513e+00	7.527893457013575151e+00	6.416417088989441631e+00	5.454448437405731376e+00	4.583855327300150329e+00	3.905363049773756146e+00	3.233733191553544994e+00	2.685862211161387680e+00	2.249993082956259105e+00	1.784704648567119190e+00	1.394597568627450990e+00	1.041010393061840400e+00	6.929091779788839611e-01	3.467453194570136454e-01	-2.728513040452489741e-02	-4.428541858220211846e-01	-9.473321306184013801e-01
2.162461092006033709e+02	1.672448772247361148e+02	1.363220319758672474e+02	9.869590503770740497e+01	6.768048024132731655e+01	5.865429761689292576e+01	4.957398835595777342e+01	4.154237791855204165e+01	3.456299764705882893e+01	2.904777773755657577e+01	2.348903173453997795e+01	1.953821309200604261e+01	1.760847559577678112e+01	1.494579088989441651e+01	1.399971758672700339e+01	1.253850492307692477e+01	1.102591273001508299e+01	9.679109321266968990e+00	8.549577453996985099e+00	7.479821665158372213e+00	6.378815776772246871e+00	5.425419469079939994e+00	4.561710413273000420e+00	3.887444561085973582e+00	3.219556006033182705e+00	2.674665025641025817e+00	2.240716150829562103e+00	1.776987788838612525e+00	1.388493568627451102e+00	1.035986430165912742e+00	6.885915535444948610e-01	3.432067113122172497e-01	-3.009835781357467210e-02	-4.451217260935144138e-01	-9.488652898944194281e-01
2.151525453996983970e+02	1.658261966817496784e+02	1.349726369532428123e+02	9.765778395173454385e+01	6.690388929110106631e+01	5.798665472096531914e+01	4.901174935143288280e+01	4.107962162895928060e+01	3.419919058823529667e+01	2.874507113122173152e+01	2.325610295625943280e+01	1.935369580693816971e+01	1.744715396681750263e+01	1.481623279034690555e+01	1.388169297134238889e+01	1.243717589140271684e+01	1.094165069381598876e+01	9.608735927601811611e+00	8.491018684766215685e+00	7.431749873303168386e+00	6.341214464555052110e+00	5.396390500754147723e+00	4.539565499245851399e+00	3.869526072398190575e+00	3.205378820512820859e+00	2.663467840120663954e+00	2.231439218702865546e+00	1.769270929110105639e+00	1.382389568627450993e+00	1.030962467269985305e+00	6.842739291101056498e-01	3.396681031674208540e-01	-3.291158522262444680e-02	-4.473892663650075874e-01	-9.503984491704375870e-01
2.140589815987934230e+02	1.644075161387632420e+02	1.336232419306183772e+02	9.661966286576169693e+01	6.612729834087483027e+01	5.731901182503771963e+01	4.844951034690799929e+01	4.061686533936651955e+01	3.383538352941177152e+01	2.844236452488689082e+01	2.302317417797889121e+01	1.916917852187029325e+01	1.728583233785822770e+01	1.468667469079939458e+01	1.376366835595777260e+01	1.233584685972850714e+01	1.085738865761689276e+01	9.538362533936652454e+00	8.432459915535446271e+00	7.383678081447964558e+00	6.303613152337857350e+00	5.367361532428355453e+00	4.517420585218701490e+00	3.851607583710407567e+00	3.191201634992458569e+00	2.652270654600301647e+00	2.222162286576168544e+00	1.761554069381598975e+00	1.376285568627451106e+00	1.025938504374057647e+00	6.799563046757164386e-01	3.361294950226244582e-01	-3.572481263167422150e-02	-4.496568066365008165e-01	-9.519316084464556349e-01
